Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Accessibility,WCAG 2.1 AA Compliance,Accessibility - WCAG Core,WCAG Core,Browser Audit,Skip links implemented,High,Yes,No,"No skip links found on the page. The first focusable elements are navigation links — there is no ""Skip to main content"" or equivalent link.",https://main--canon-b2b-eds--magento-ecg-team.aem.live/
Accessibility,WCAG 2.1 AA Compliance,Accessibility - WCAG Core,WCAG Core,Browser Audit,Lighthouse accessibility score >= 90 in Browser Audit Lighthouse panel; zero critical (wcag2a/wcag2aa) accessibility violations reported; all flagged items reviewed and addressed or documented,Critical,Yes,No,"Manual accessibility check via JS: 0 images missing alt, 0 links without text, 0 inputs missing labels, 0 positive tabindex values. Heading structure starts at H2 (no H1 on homepage). No Lighthouse panel available via DevTools MCP. Key finding: no H1 on homepage and no skip links (row 0). Overall accessibility appears partially compliant but has known gaps from code audit.",https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — JS accessibility scan
Security,Security Standards,Security - Client-Side Code,Scripts,Browser Audit,No inline scripts without nonce/hash (CSP compliant),Critical,Yes,Yes,"All 10 scripts on the page are CSP-compliant: 0 inline scripts without nonce, 6 scripts have nonce attribute. External module scripts have no nonce but are not inline. Full CSP compliance for inline scripts.",https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — JS script nonce scan
Security,Security Standards,Security - Forms & Input,Input,Browser Audit,Form actions use HTTPS only,Critical,Yes,Yes,No form elements on the homepage. Page itself is served over HTTPS. Not applicable on this page.,https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — no forms present
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Lazy loading for below-the-fold images,High,Yes,Yes,"10 of 11 images use loading=""lazy"". 1 image uses eager (likely the LCP/hero image above the fold — correct behaviour). 5 picture elements with responsive srcset. Lazy loading is properly implemented.",https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 10/11 images lazy loaded
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,CSS delivery optimized,High,Yes,Yes,"CSS is loaded per-block (EDS pattern): 8 stylesheets total. Critical styles (styles.css, hero.css, header.css) loaded in head. Block-level CSS (columns, product-list, footer) loaded lazily by EDS loadCSS. lazy-styles.css loaded after initial render. CSS delivery follows EDS best practice. No render-blocking CSS issues beyond the expected critical path.","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 8 CSS files, EDS lazy-load pattern"
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Unused JS removed,High,Yes,Yes,"7 external scripts: 3 core EDS scripts (aem.js, scripts.js, commerce.js) loaded as needed; 4 Verint CDN scripts (chat/visitor widget). EDS block JS is code-split and loaded on-demand per block presence. No large unused JS bundles visible. Verint scripts are third-party and loaded delayed (3s setTimeout as confirmed in code audit).","https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — 7 scripts, EDS code-split pattern"
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,Meta description tag present on all pages; content between 50-160 characters; not a default placeholder value (e.g. 'description' / 'website' / 'page'),High,Yes,Yes,"Meta description present: ""Explore our range of Canon multifunction printers, designed to meet diverse business needs."" — 91 characters, within 50-160 range. Not a default/placeholder value. og:description also set with same content.",https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — meta description 91 chars
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,"Favicon (<link rel=""icon"">) present in <head>; Apple touch icon present where applicable",Medium,No,No,No favicon link tag found in head. No apple-touch-icon either. The browser may still find a /favicon.ico by convention but no explicit link element is present.,https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — no favicon link tag in head
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,"Canonical URL (<link rel=""canonical"">) present on all indexable pages; href is absolute URL; no duplicate canonical tags per page",High,Yes,Yes,"Canonical URL present: https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — absolute URL, single canonical tag, no duplicates. Note: canonical points to the AEM Live preview URL, not a production canon.com domain — this should be updated before go-live.",https://main--canon-b2b-eds--magento-ecg-team.aem.live/ — canonical tag present
