Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Accessibility,WCAG 2.1 AA Compliance,Accessibility - WCAG Core,WCAG Core,Browser Audit,Skip links implemented,High,Yes,No,No skip-to-main link (.cmp-page__skiptomaincontent-link) found on homepage DOM.,https://www.aquasana.co.uk/
Accessibility,WCAG 2.1 AA Compliance,Accessibility - WCAG Core,WCAG Core,Browser Audit,Lighthouse accessibility score >= 90 in Browser Audit Lighthouse panel; zero critical (wcag2a/wcag2aa) accessibility violations reported; all flagged items reviewed and addressed or documented,Critical,Yes,No,Lighthouse accessibility 77 (desktop/mobile); failing audits include aria-allowed-attr and link-name.,https://www.aquasana.co.uk/
Security,Security Standards,Security - Client-Side Code,Scripts,Browser Audit,No inline scripts without nonce/hash (CSP compliant),Critical,Yes,No,Multiple inline <script> blocks without nonce; CSP only sets frame-ancestors.,https://www.aquasana.co.uk/
Security,Security Standards,Security - Forms & Input,Input,Browser Audit,Form actions use HTTPS only,Critical,Yes,Yes,All form actions use HTTPS (booking search and newsletter forms).,https://www.aquasana.co.uk/
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Lazy loading for below-the-fold images,High,Yes,No,"Many below-fold Scene7 images use loading=""auto"" instead of lazy.",https://www.aquasana.co.uk/
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,CSS delivery optimized,High,Yes,No,"Lighthouse render-blocking-resources: est. 5,300ms savings on mobile.",https://www.aquasana.co.uk/
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Unused JS removed,High,Yes,No,Lighthouse unused-javascript: est. 588 KiB unused on mobile load.,https://www.aquasana.co.uk/
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,Meta description tag present on all pages; content between 50-160 characters; not a default placeholder value (e.g. 'description' / 'website' / 'page'),High,Yes,No,Meta description present but 183 characters (exceeds 50–160 recommended range).,https://www.aquasana.co.uk/
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,"Favicon (<link rel=""icon"">) present in <head>; Apple touch icon present where applicable",Medium,No,Yes,Favicon (192x192) and apple-touch-icon (180x180) present in <head>.,https://www.aquasana.co.uk/
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,"Canonical URL (<link rel=""canonical"">) present on all indexable pages; href is absolute URL; no duplicate canonical tags per page",High,Yes,Yes,Single canonical with absolute URL https://www.aquasana.co.uk/.,https://www.aquasana.co.uk/
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,Alternate language annotations (hreflang) present for multilingual sites; each hreflang is valid BCP 47 tag; x-default fallback present,Medium,No,Yes,Single-locale en-GB site; hreflang not required (no alternate language versions).,https://www.aquasana.co.uk/
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Metadata,Browser Audit,CSS <link> and <style> tags appear before <script> tags in <head> section; no JavaScript-only <script> inserted before stylesheet <link>,High,Yes,Yes,Stylesheet <link> tags precede blocking script tags in document head.,https://www.aquasana.co.uk/
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Browser Audit,"External links with target=""_blank"" include rel=""noopener noreferrer"" to prevent tab nabbing and referrer leakage",High,Yes,No,"target=""_blank"" links to Google policies lack rel=""noopener noreferrer"" (only noopener on some).",https://www.aquasana.co.uk/
Development,Error Handling & Observability Hooks,HTML Metadata & Validation,Validation,Browser Audit,Custom error pages for 404 and 5xx HTTP responses exist in source; error pages include site branding and navigation back to homepage,High,Yes,Yes,"404 returns branded Aqua Sana page (title ""Page Not Found | Aqua Sana"") with site chrome.",https://www.aquasana.co.uk/this-page-does-not-exist-404-test
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Webfont files use WOFF2 as primary format with WOFF fallback; @font-face declarations include format() hints matching served file types,High,Yes,No,Icon font served as TTF/WOFF/EOT; no WOFF2 observed in @font-face or network.,https://www.aquasana.co.uk/
Performance,Lighthouse / PSI Validation,Performance - Core Web Vitals,Web Vitals,Browser Audit,Lighthouse performance score >= 90 on desktop and >= 90 on mobile; run via Browser Audit Lighthouse panel (Audits tab) with device and throttling set appropriately,Critical,Yes,No,"Lighthouse performance: desktop 25, mobile 27 (both below 90).",https://www.aquasana.co.uk/
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,LCP (Largest Contentful Paint) < 2.5s; CLS (Cumulative Layout Shift) < 0.1; INP (Interaction to Next Paint) < 200ms; verify via Browser Audit Performance panel recording or Lighthouse Core Web Vitals section,Critical,Yes,No,"Mobile LCP 22.0s, FCP 7.0s exceed budgets; CLS 0 passes.",https://www.aquasana.co.uk/
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,No JavaScript long tasks (> 50ms) blocking the main thread during page load; Total Blocking Time (TBT) within budget; verify via Browser Audit Performance panel Main thread flame chart and Lighthouse TBT metric,High,Yes,No,"Mobile Total Blocking Time 2,570ms; heavy main-thread work during load.",https://www.aquasana.co.uk/
Performance,Core Web Vitals (CWV) Metrics,Performance - Core Web Vitals,Web Vitals,Browser Audit,Time to First Byte (TTFB) < 800ms measured in Browser Audit Network panel Timing tab; no excessive DNS lookup or TCP/TLS connection time in waterfall,High,Yes,Yes,"Document TTFB ~160–230ms (Lighthouse server-response-time), under 800ms.",https://www.aquasana.co.uk/
Performance,Lighthouse / PSI Validation,Performance - Core Web Vitals,Web Vitals,Browser Audit,Lighthouse SEO score >= 90 and Best Practices score >= 90 in Browser Audit Lighthouse panel; no critical findings blocking either category,High,Yes,No,Lighthouse SEO 92 passes; Best Practices 54 fails 90 threshold.,https://www.aquasana.co.uk/
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,"Total page weight within performance budget (< 1MB transferred for initial load); verify via Browser Audit Network panel Summary row showing transferred size, resource count, and finish time",High,Yes,No,"Lighthouse total-byte-weight ~20,257 KiB on mobile (far above 1MB budget).",https://www.aquasana.co.uk/
