Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Semantic-to-div ratio above threshold; pages with >70% generic containers (div/span) flagged,Critical,Yes,No,"219 markup files analyzed: overall 59.3% generic (div/span) vs 40.7% semantic. 47 files exceed 70% generic threshold (e.g. timeline.vue/html, searchresults placeholders). No ESLint/CI rule enforces semantic ratio.","ui.apps, ui.frontend"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Correct heading hierarchy maintained,Critical,Yes,No,"157 files use headings; 17 have hierarchy violations (skipped levels e.g. h3→h6, h1→h4) or multiple h1 (manageguests modal, folderpage, storybook). No eslint-plugin-jsx-a11y heading-level rule in repo.",ui.apps/src/main/content/jcr_root/apps/centerparcs/components/content/manageguests/partials/addEditGuestModal.html
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Single h1 per page where applicable,High,Yes,No,"5 markup files contain multiple <h1> tags including production AEM components: folderpage.html, addEditGuestModal.html, activity-category-list.html. Storybook/static demos also affected.",ui.apps/src/main/content/jcr_root/apps/centerparcs/components/structure/folderpage/folderpage.html
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,DOM source order matches visual tab order; no positive tabindex values; CSS order/flex-direction does not contradict DOM sequence,High,Yes,No,"Positive tabindex found: modal-publish-view.html uses tabindex=""1"" on modal roundel button. Compiled CSS uses flex-direction row-reverse/column-reverse in several places; cannot verify tab vs visual order without runtime test.",ui.apps/src/main/content/jcr_root/apps/centerparcs/components/content/modal/modal-publish-view.html
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,Page content hierarchy intact: headings and body text present in raw HTML source; critical content not injected solely via JavaScript; no content exclusively hidden via inline style or JS-only class toggling,High,Yes,No,131+ AEM partials use placeholders/skeleton markup without headings or body text (e.g. results-placeholder.html is div-only loaders). Search/booking content is Vue-hydrated; raw HTML lacks substantive content hierarchy.,ui.apps/src/main/content/jcr_root/apps/centerparcs/components/content/searchresults/v1/searchresults/results-placeholder.html
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,Avoid excessive DOM depth,Medium,No,Yes,DOM depth scan of ui.apps markup: only 4 files reach depth 15–17 (basket.html max 17); vast majority of templates stay shallower. No systematic over-nesting.,ui.apps/src/main/content/jcr_root/apps/centerparcs/components/structure/header/basket.html
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Radio/checkbox groups wrapped in fieldset with legend; forms with 3+ related inputs have grouping,High,Yes,No,"fieldset/legend used in many forms (264 refs) but 6 templates with 3+ radio/checkbox lack fieldset, including author-view.html (26 inputs). Vue form components also omit fieldset grouping.",ui.apps/src/main/content/jcr_root/apps/centerparcs/components/content/searchresults/v1/searchresults/author-view.html
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,All inputs have associated labels,Critical,Yes,No,"Automated scan found 19 ui.apps templates and 1 Vue component with visible inputs lacking <label for> or aria-label/aria-labelledby (e.g. village-dropdown-view.html, basket.html, booking magnet forms).",ui.apps/src/main/content/jcr_root/apps/centerparcs/components/content/searchbar/partials/village-dropdown-view.html
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Placeholder not used as label,High,Yes,No,"Most form inputs use explicit labels, but search-activity.html search field relies on placeholder=""Search ..."" with no associated <label> or aria-label.",ui.apps/src/main/content/jcr_root/apps/centerparcs/components/content/searchresults/v1/searchresults/search-activity.html
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Error messages programmatically associated with inputs via aria-describedby or aria-errormessage; error containers use role='alert' or aria-live='assertive'; error text is non-empty and >10 characters,Critical,Yes,No,"FormValidator sets aria-invalid only; no aria-describedby/aria-errormessage wiring to .js-input-error spans. Some auth flows use role=alert, but field-level errors in personal-details and most AEM forms lack programmatic association.",ui.frontend/src/main/patternlab-aem/src/js/forms/form-validation/form-validator.js
