Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Accessibility,WCAG 2.1 AA Compliance,Accessibility - WCAG Core,WCAG Core,Browser Audit,Skip links implemented,High,Yes,No,No skip links found on the page. Zero anchor links with href='#...' detected. The login page (redirect target) has no skip navigation mechanism.,https://author-p167603-e1796403.adobeaemcloud.com/libs/granite/core/content/login.html
Accessibility,WCAG 2.1 AA Compliance,Accessibility - WCAG Core,WCAG Core,Browser Audit,Lighthouse accessibility score >= 90 in Browser Audit Lighthouse panel; zero critical (wcag2a/wcag2aa) accessibility violations reported; all flagged items reviewed and addressed or documented,Critical,Yes,No,"Lighthouse navigation audit could not run — page is auth-gated (redirects to AEM login). Login page manual inspection: lang=en, h1 present, inputs have aria-label, 1 button has no accessible name (empty text/no aria-label). Full accessibility score not obtainable without authenticated session.",https://author-p167603-e1796403.adobeaemcloud.com/libs/granite/core/content/login.html
Security,Security Standards,Security - Client-Side Code,Scripts,Browser Audit,No inline scripts without nonce/hash (CSP compliant),Critical,Yes,No,"1 inline script found without nonce or hash on the login page. Script content: 'try to append the current hash/fragment to the redirect resource'. 8 total scripts (7 external, 1 inline). The inline script has no nonce attribute — not CSP compliant.",https://author-p167603-e1796403.adobeaemcloud.com/libs/granite/core/content/login.html
Security,Security Standards,Security - Forms & Input,Input,Browser Audit,Form actions use HTTPS only,Critical,Yes,Yes,Login form action uses HTTPS: https://author-p167603-e1796403.adobeaemcloud.com/libs/granite/core/content/login.html/j_security_check (POST). All form actions verified as HTTPS.,https://author-p167603-e1796403.adobeaemcloud.com/libs/granite/core/content/login.html
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Lazy loading for below-the-fold images,High,Yes,Yes,"Source code review confirms image-frame.hbs, teaser.hbs, hero-card.hbs all use loading='lazy' on img elements. Login page has 0 images (N/A for login). Based on source code, lazy loading is implemented for below-fold images in all content components.",ui.frontend/src/main/webpack/components/image-frame/image-frame.hbs
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,CSS delivery optimized,High,Yes,Yes,CSS is bundled and minified via webpack (webpack.prod.js). AEM clientlibs serve CSS as bundled files. SCSS compiled to single CSS bundle per clientlib category. No render-blocking CSS link tags found in component HBS files. Chrome DevTools disconnected — assessed from source/build config.,ui.frontend/webpack.prod.js
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Unused JS removed,High,Yes,Yes,"Webpack production build (webpack.prod.js) uses tree-shaking and code splitting. Third-party libraries (Swiper, HLS.js, dashjs) use dynamic import() — only loaded when needed. ESLint no-unused-vars enforced. Chrome DevTools disconnected — assessed from build configuration and source code review.",ui.frontend/webpack.prod.js
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,Meta description tag present on all pages; content between 50-160 characters; not a default placeholder value (e.g. 'description' / 'website' / 'page'),High,Yes,No,Chrome DevTools disconnected — assessed from login page snapshot. Login page title is 'AEM Sign In' but no meta description tag was visible in the accessibility tree snapshot. AEM DXP pages are auth-gated; meta description management is an AEM page-properties concern. Cannot verify content pages. Login page has no meta description.,https://author-p167603-e1796403.adobeaemcloud.com/libs/granite/core/content/login.html
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,"Favicon (<link rel=""icon"">) present in <head>; Apple touch icon present where applicable",Medium,No,Yes,AEM login page has Adobe favicon served from AEM platform. The DXP project uses AEM-managed favicon via page template head configuration. static/assets directory contains site assets. Chrome DevTools disconnected — assessed from AEM platform defaults and static/index.html which references favicon via AEM standard head component.,https://author-p167603-e1796403.adobeaemcloud.com/libs/granite/core/content/login.html
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,"Canonical URL (<link rel=""canonical"">) present on all indexable pages; href is absolute URL; no duplicate canonical tags per page",High,Yes,No,Chrome DevTools disconnected. Auth-gated site — cannot inspect content pages. Login page has no canonical tag. AEM manages canonical URLs via page template head component. Cannot verify on content pages without authenticated access.,https://author-p167603-e1796403.adobeaemcloud.com/libs/granite/core/content/login.html
