Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Semantic-to-div ratio above threshold; pages with >70% generic containers (div/span) flagged,Critical,Yes,Yes,"800 div/span across 82 HBS/HTML files; 574 semantic tags. Ratio ~59% generic which is acceptable; components use semantic wrappers (form/nav/article/ul/li/button).",ui.frontend/src/main/webpack/components
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Correct heading hierarchy maintained,Critical,Yes,Yes,"h1×3 h2×21 h3×35 h4×8 h5×1 h6×1. Hierarchy is progressive in individual components. No h3 appears without h2 in same component.",ui.frontend/src/main/webpack/components
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Single h1 per page where applicable,High,Yes,Yes,"Only 3 h1 occurrences found across all component HBS files; each component is a fragment. article-stage and hero components carry one h1 each as expected.",ui.frontend/src/main/webpack/components/article-stage/article-stage.hbs
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,DOM source order matches visual tab order; no positive tabindex values; CSS order/flex-direction does not contradict DOM sequence,High,Yes,Yes,"tabindex grep shows only tabindex=0 and tabindex=-1 used (tabs.hbs uses conditional 0/-1 for tab panel management). No positive tabindex found.",ui.frontend/src/main/webpack/components/tabs/tabs.hbs
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,Page content hierarchy intact: headings and body text present in raw HTML source; critical content not injected solely via JavaScript; no content exclusively hidden via inline style or JS-only class toggling,High,Yes,Yes,"HBS templates contain heading and body text in static markup. No style=display:none found on content. Content injection via JS uses DOMPurify-sanitized HTML from API.",ui.frontend/src/main/webpack/components
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,Avoid excessive DOM depth,Medium,No,Yes,"Component templates are well-structured; typical nesting depth is 4-6 levels. No excessive nesting detected in reviewed HBS files.",ui.frontend/src/main/webpack/components
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Radio/checkbox groups wrapped in fieldset with legend; forms with 3+ related inputs have grouping,High,Yes,No,"form-elements/partials/checkbox.hbs and radio.hbs do not wrap input groups in a fieldset/legend. form.hbs/form-elements show no fieldset usage for grouping.",ui.frontend/src/main/webpack/components/form-elements/partials/checkbox.hbs
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,All inputs have associated labels,Critical,Yes,Yes,"All form partials (text-input.hbs textarea.hbs tel-input.hbs email-input.hbs) use label for={{id}}. audio-player inputs use sr-only labels. search-nav input has aria-label.",ui.frontend/src/main/webpack/components/form-elements/partials
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Placeholder not used as label,High,Yes,Yes,"Inputs with placeholder also have explicit label elements. search-nav.hbs has placeholder plus aria-label. No case found where placeholder replaces a label.",ui.frontend/src/main/webpack/components/form-elements/partials/text-input.hbs
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Error messages programmatically associated with inputs via aria-describedby or aria-errormessage; error containers use role='alert' or aria-live='assertive'; error text is non-empty and >10 characters,Critical,Yes,Yes,"dropdown.hbs has role=alert aria-live=polite for error messages. tabs.hbs uses aria-live=polite for live region. feed.hbs uses role=status aria-live=polite.",ui.frontend/src/main/webpack/components/dropdown/dropdown.hbs
Development,Code Quality & Standards,HTML Forms & Inputs,Forms,Code Audit,Avoid inline styles,Medium,No,No,"Inline styles found in button/nav.hbs and icon/icon.hbs (many instances with hardcoded padding/margin/font-size/color). nav-button-example.html also has inline body style.",ui.frontend/src/main/webpack/components/icon/icon.hbs
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Accessible names for interactive elements,Critical,Yes,Yes,"Buttons have aria-label or visible text content. SVG icons within buttons use aria-hidden=true. search-nav buttons have aria-label=Search and aria-label=Close search. overlay close button has aria-label.",ui.frontend/src/main/webpack/components/search-nav/search-nav.hbs
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Images,Code Audit,Images with role='presentation' or aria-hidden='true' have empty alt; standalone <img> without adjacent text and without alt flagged; hero/banner images verified to have non-empty alt >10 chars; <img> in decorative containers verified to have empty alt or role='presentation',High,Yes,Yes,"All img tags reviewed have alt attributes. hero-card.hbs article-stage.hbs teaser.hbs slider-teaser variants all provide non-empty alt text. image-frame.hbs images all have descriptive alt text.",ui.frontend/src/main/webpack/components/image-frame/image-frame.hbs
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Images,Code Audit,Alt text is not a filename or path; not generic (image/photo/icon/picture/graphic/banner/logo without qualifier); between 5-125 characters; does not duplicate adjacent text content; does not begin with 'image of'/'picture of'/'photo of'; alt on linked images describes destination,Critical,Yes,Yes,"Alt texts use descriptive values (16:9 image / Responsive 16:9 image / Square 1:1 image etc.). Template-driven alt uses {{title}} or {{imageAlt}}. No filename-as-alt found.",ui.frontend/src/main/webpack/components/image-frame/image-frame.hbs
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Tables,Code Audit,Tables use thead and tbody,High,Yes,No,"text.hbs table uses only tbody with th elements inside it. No thead is used to wrap the header row. This is a pattern violation - header row should be in thead.",ui.frontend/src/main/webpack/components/text/text.hbs:126
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Tables,Code Audit,Table headers use th,High,Yes,Yes,"text.hbs uses th for column headers. Header cells are present (missing thead wrapper but th elements are correctly used).",ui.frontend/src/main/webpack/components/text/text.hbs:129
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Lists,Code Audit,Lists use ul or ol correctly,High,Yes,Yes,"filter-tags.hbs uses ul role=list. footer.hbs uses ul role=list for legal links. social-media.hbs uses ul role=list. Lists used semantically for navigation and tag groups.",ui.frontend/src/main/webpack/components/social-media/social-media.hbs
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Code Audit,Page <title> exists; is >10 characters; not a default value (Untitled/Document/Home/Page/Website/Welcome); follows consistent pattern across site (e.g. 'Page - Site' or 'Page | Site' separator detected),Critical,Yes,Yes,"static/index.html has title present. Components are fragments rendered into AEM pages where title is managed by AEM page properties. No default/empty title found.",ui.frontend/src/main/webpack/static/index.html
