Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Semantic-to-div ratio above threshold; pages with >70% generic containers (div/span) flagged,Critical,Yes,Yes,"createElement audit: 93 div + 12 span (105 generic) vs ~55 semantic (button, ul, p, li, nav, main, headings, form, etc.). Generic ratio ~65.6%, below 70% flag threshold. Block JS uses semantic elements for CTAs, lists, nav.","blocks/, scripts/ (grep createElement counts)"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Correct heading hierarchy maintained,Critical,Yes,Yes,"Blocks preserve authored heading levels (links-column copies source tagName; hero/timelines/our-culture query h1-h6 from content). Programmatic headings (videolist h2/h3, featured-cards h5) augment authored structure without replacing page outline.","blocks/links-column/links-column.js, blocks/hero/hero.js"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Single h1 per page where applicable,High,Yes,Yes,"No block JS creates h1 elements; h1 comes from authored content only. cards-shared.css explicitly preserves h1/h2 for document hierarchy. Component models offer h1 as author choice, not duplicated programmatically.","blocks/cards/cards-shared.css, blocks/hero/hero.js"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,DOM source order matches visual tab order; no positive tabindex values; CSS order/flex-direction does not contradict DOM sequence,High,Yes,No,"No positive tabindex (only 0/-1). However flex-direction:row-reverse used in links-column icon links, slider switch-position, and teaser layouts reverses visual order vs DOM tab sequence.","blocks/links-column/links-column.css, blocks/slider/slider.css, blocks/teaser/teaser.css"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,Page content hierarchy intact: headings and body text present in raw HTML source; critical content not injected solely via JavaScript; no content exclusively hidden via inline style or JS-only class toggling,High,Yes,Yes,"EDS delivers authored headings/body in page HTML; blocks decorate existing DOM rows. innerHTML clears restructure block children, not replace with JS-only text. style.display toggles are UI controls (cart counter, play/pause), not hiding main content.","blocks/hero/hero.js, blocks/content-block/content-block.js"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,Avoid excessive DOM depth,Medium,No,No,EDS block structure uses deeply nested div wrappers (default-section > div > div > block rows). Multiple blocks append additional wrapper divs increasing depth beyond recommended limits.,"blocks/ structure, Franklin default DOM"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Radio/checkbox groups wrapped in fieldset with legend; forms with 3+ related inputs have grouping,High,Yes,No,No fieldset/legend usage in blocks or scripts. No radio/checkbox form groups found with semantic grouping.,"blocks/, scripts/ (grep fieldset legend)"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,All inputs have associated labels,Critical,Yes,Yes,"No standalone form inputs in block JS; interactive controls use buttons with aria-label (language-selector, modal close). No unlabeled input elements found.","blocks/language-selector/, blocks/modal/modal.js"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Placeholder not used as label,High,Yes,Yes,No placeholder attributes used on form inputs in blocks/scripts source.,"blocks/, scripts"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Error messages programmatically associated with inputs via aria-describedby or aria-errormessage; error containers use role='alert' or aria-live='assertive'; error text is non-empty and >10 characters,Critical,Yes,No,"No aria-describedby/aria-errormessage error association, role=alert, or aria-live assertive patterns found for form validation errors.","blocks/, scripts"
Development,Code Quality & Standards,HTML Forms & Inputs,Forms,Code Audit,Avoid inline styles,Medium,No,No,"JS sets element.style.display in header (cart counter), teaser (play/pause), editor-support. Not widespread but present.","blocks/header/header.js, blocks/teaser/teaser.js"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Accessible names for interactive elements,Critical,Yes,Yes,"39+ aria-label/aria-labelledby usages across blocks (modal, language-selector, slider, header). Buttons and links have text or aria-label.","blocks/modal/modal.js, blocks/language-selector"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Images,Code Audit,Images with role='presentation' or aria-hidden='true' have empty alt; standalone <img> without adjacent text and without alt flagged; hero/banner images verified to have non-empty alt >10 chars; <img> in decorative containers verified to have empty alt or role='presentation',High,Yes,Yes,"Decorative images use aria-hidden + empty alt (language-selector, videolist, cards). order-now sets meaningful alt fallback for hero images.","blocks/language-selector/language-selector.js, blocks/order-now/order-now.js"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Images,Code Audit,Alt text is not a filename or path; not generic (image/photo/icon/picture/graphic/banner/logo without qualifier); between 5-125 characters; does not duplicate adjacent text content; does not begin with 'image of'/'picture of'/'photo of'; alt on linked images describes destination,Critical,Yes,No,Code cannot enforce alt length/quality on authored content. videolist sets img.alt='' for thumbnails; alt quality depends on CMS authoring without validation.,"blocks/videolist/videolist.js, blocks/order-now/order-now.js"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Tables,Code Audit,Tables use thead and tbody,High,Yes,No,"comparison-table uses div grid with role=table, not semantic table/thead/tbody elements.",blocks/comparison-table/comparison-table.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Tables,Code Audit,Table headers use th,High,Yes,No,"Headers use role=columnheader on div cells, not th elements.",blocks/comparison-table/comparison-table.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Lists,Code Audit,Lists use ul or ol correctly,High,Yes,Yes,"Lists created with createElement('ul') in links-column, language-selector, cards, slider, featured-cards.","blocks/links-column/links-column.js, blocks/cards/cards.js"
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Code Audit,Page <title> exists; is >10 characters; not a default value (Untitled/Document/Home/Page/Website/Welcome); follows consistent pattern across site (e.g. 'Page - Site' or 'Page | Site' separator detected),Critical,Yes,Yes,document.title set from page metadata in scripts/delayed.js; 404.html has meaningful title. Not default Untitled values.,"scripts/delayed.js, 404.html"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Metadata,Code Audit,Meta viewport configured correctly,High,Yes,Yes,"viewport meta width=device-width, initial-scale=1 in head.html and 404.html.",head.html
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,IDs,Code Audit,No duplicate IDs,Critical,Yes,Yes,No duplicate static id attributes found across blocks/scripts grep scan.,"blocks/, scripts"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Validation,Code Audit,No invalid HTML nesting,Critical,Yes,Yes,"Block JS uses valid nesting (dialog>div, ul>li, button>img). No invalid parent-child combinations found in programmatic DOM.","blocks/modal/modal.js, blocks/cards"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Validation,Code Audit,HTML validates without errors,Critical,Yes,No,head.html lacks charset meta and html wrapper; full page validation not run. Cannot confirm zero validator errors without built pages.,head.html
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,ARIA,Code Audit,ARIA roles do not duplicate native semantics,High,Yes,No,comparison-table sets role=table/row/cell on divs duplicating table semantics. links-column sets role=button on heading elements.,"blocks/comparison-table/comparison-table.js, blocks/links-column/links-column.js"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,ARIA,Code Audit,Avoid misuse of ARIA roles,High,Yes,No,role=button applied to heading elements in mobile footer accordion (links-column) instead of using native button.,blocks/links-column/links-column.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,ARIA,Code Audit,ARIA used only when necessary,Medium,No,No,ARIA roles used on comparison-table div grid where native table would suffice; decorative spans use aria-hidden appropriately.,blocks/comparison-table/comparison-table.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Metadata,Code Audit,Meta tags do not block zoom,Medium,No,Yes,No user-scalable=no or maximum-scale=1 in viewport meta.,"head.html, 404.html"
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Links,Code Audit,No broken links (run broken-link-checker or linkinator CLI against local build or source HTML),High,Yes,No,Broken link checker (linkinator) not run against local build during audit.,
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,CSS variables used for all colors,Critical,Yes,Yes,:root and styles.css map colors to --color-* design tokens from tailwind.css shared token system.,"styles/styles.css, styles/tailwind.css"
