key,value
metadata.projectName,AEM DXP (Telekom)
metadata.repoUrl,https://gitlab.devops.telekom.de/digitalhub-com-and-brand/aem-dxp.git
metadata.appUrl,https://author-p167603-e1796403.adobeaemcloud.com
metadata.auditDate,2026-05-22
metadata.auditorName,ACS Amplify
metadata.auditVersion,2.0.0
metadata.projectType,Enhancement
metadata.projectManager,
metadata.architectLead,
metadata.currentPhase,Development
summary.browserAudit.total,47
summary.browserAudit.passed,17
summary.browserAudit.failed,30
summary.browserAudit.notApplicable,0
summary.codeAudit.total,143
summary.codeAudit.passed,117
summary.codeAudit.failed,26
summary.codeAudit.notApplicable,0
summary.manualAudit.total,64
summary.manualAudit.passed,0
summary.manualAudit.failed,0
summary.manualAudit.notApplicable,64
summary.overall.total,254
summary.overall.passed,134
summary.overall.failed,56
summary.overall.notApplicable,64
summary.overall.mandatoryFailed,47
summary.overall.criticalFailed,13
summary.overall.highFailed,27
summary.overall.mediumFailed,16
scores.overall,65
scores.discovery,
scores.contentQuality,
scores.internationalization,
scores.design,
scores.userExperience,
scores.visualDesign,
scores.setup,
scores.development,76.1
scores.architectureReview,
scores.testing,
scores.security,56.5
scores.performance,54.2
scores.accessibility,72.7
scores.authorValidation,
scores.preGoLive,
scores.postGoLive,
scores.processGovernance,66.7
browser.accessibility.skipLinksImplemented,
browser.accessibility.lighthouseAccessibilityScore,
browser.accessibility.wcagViolationsCritical,
browser.accessibility.wcagViolationsTotal,
browser.security.inlineScriptsWithoutNonce,
browser.security.formActionsUseHttps,
browser.security.cspHeaderPresent,
browser.security.cspHasUnsafeDirectives,
browser.security.xContentTypeOptionsPresent,
browser.security.xFrameOptionsOrCspFrameAncestors,
browser.security.referrerPolicyPresent,
browser.security.zeroJsErrorsInConsole,
browser.security.noDeprecatedApiWarnings,
browser.security.mixedContentDetected,
browser.security.tlsCertificateValid,
browser.security.sensitiveDataInClientStorage,
browser.security.cookieSameSiteSecureFlags,
browser.security.websocketUsesWss,
browser.security.noCspViolationsInConsole,
browser.performance.lazyLoadingBelowFold,
browser.performance.cssDeliveryOptimized,
browser.performance.unusedJsRemoved,
browser.performance.webfontUsesWoff2,
browser.performance.lighthousePerformanceScore,
browser.performance.lcpMs,
browser.performance.clsScore,
browser.performance.inpMs,
browser.performance.longTasksOnMainThread,
browser.performance.tbtWithinBudget,
browser.performance.ttfbMs,
browser.performance.lighthouseSeoScore,
browser.performance.lighthouseBestPracticesScore,
browser.performance.totalPageWeightKb,
browser.performance.compressionEnabled,
browser.performance.imageOptimizationIssues,
browser.performance.resourcesOverHttp2OrHttp3,
browser.performance.unusedJsCssPercent,
browser.performance.fcpMs,
browser.performance.speedIndexMs,
browser.performance.duplicateNetworkRequests,
browser.development.metaDescriptionPresent,
browser.development.metaDescriptionLength,
browser.development.faviconPresent,
browser.development.canonicalUrlPresent,
browser.development.hreflangImplemented,
browser.development.cssBeforeScriptsInHead,
browser.development.externalLinksHaveNoopener,
browser.development.customErrorPagesExist,
browser.development.responsiveAtAllBreakpoints,
browser.development.clsInPerformancePanel,
browser.development.noRenderBlockingResources,
browser.development.noConsoleLogInProduction,
browser.development.noViolationMessagesInConsole,
browser.development.noForcedSyncLayoutsInFlameChart,
browser.development.noExcessiveRepaintsOnScroll,
browser.development.noDetachedDomNodes,
browser.development.preloadedResourcesConsumed,
browser.development.webFontsLoadWithoutFoit,
code.html.semantics.semanticToDivRatioPass,
code.html.semantics.headingHierarchyCorrect,
code.html.semantics.singleH1PerPage,
code.html.structure.domSourceOrderMatchesTabOrder,
code.html.structure.criticalContentInRawHtml,
code.html.structure.excessiveDomDepth,
code.html.forms.radioCheckboxHaveFieldsetLegend,
code.html.forms.allInputsHaveLabels,
code.html.forms.missingLabelsCount,
code.html.forms.placeholderUsedAsLabel,
code.html.forms.errorMessagesLinkedToInputs,
code.html.forms.interactiveElementsHaveAccessibleNames,
code.html.forms.inlineStylesCount,
code.html.media.decorativeImagesHaveEmptyAlt,
code.html.media.altTextQualityPass,
code.html.media.missingOrInvalidAltCount,
code.html.media.tablesHaveTheadTbody,
code.html.media.tableHeadersUseTh,
code.html.media.listsUseUlOrOlCorrectly,
code.html.media.imgElementsHaveDimensionsForCls,
code.html.metadata.pageTitlePresent,
code.html.metadata.pageTitleQualityPass,
code.html.metadata.metaViewportConfigured,
code.html.metadata.charsetDeclaredInHead,
code.html.metadata.langAttributeValid,
code.html.metadata.dirAttributeForRtl,
code.html.metadata.duplicateIdsCount,
code.html.metadata.invalidHtmlNestingCount,
code.html.metadata.htmlValidationErrorCount,
code.html.metadata.ariaRolesDontDuplicateSemantics,
code.html.metadata.noAriaMisuse,
code.html.metadata.ariaUsedOnlyWhenNecessary,
code.html.metadata.metaTagsDoNotBlockZoom,
code.html.metadata.brokenLinksCount,
code.css.tokens.cssVarsUsedForColors,
code.css.tokens.cssVarsUsedForSpacing,
code.css.tokens.cssVarsUsedForTypography,
code.css.tokens.cssVarsUsedForFontFamily,
