Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Semantic-to-div ratio above threshold; pages with >70% generic containers (div/span) flagged,Critical,Yes,Yes,"div/span ratio in blocks JS is ~67.7% (113/167 createElement calls), just below the 70% flag threshold. Semantic elements (a, p, li, ul, nav, button, details, dialog) are used. HTML pages (404, 418) use main, header, footer, h2 correctly.",blocks/ (grep createElement)
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Correct heading hierarchy maintained,Critical,Yes,Yes,"Heading elements h2–h6 are used across blocks. h1 is expected to come from page document content (EDS convention). h5/h6 appear in modals and navigation. No programmatic heading hierarchy enforcement; review is needed to confirm h1 exists on all pages and hierarchy is maintained in context, but block-level usage looks reasonable.",blocks/ (grep createElement h[1-9])
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Single h1 per page where applicable,High,Yes,Yes,"No block creates multiple h1s. scripts.js uses querySelector('h1') (singular) to build the hero block, confirming single-h1-per-page expectation. h1 comes from page document content in EDS convention.",scripts/scripts.js:34
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,DOM source order matches visual tab order; no positive tabindex values; CSS order/flex-direction does not contradict DOM sequence,High,Yes,No,"Positive tabindex found: blocks/modal/modal.js sets tabindex=""1"" on the dialog element. All other tabindex usages are 0 or -1 (valid). Positive tabindex values disrupt natural tab order. Also tabindex=0 on drop-down items in header.js is fine. No CSS order/flex-direction issues found in JS source.",blocks/modal/modal.js:7
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,Page content hierarchy intact: headings and body text present in raw HTML source; critical content not injected solely via JavaScript; no content exclusively hidden via inline style or JS-only class toggling,High,Yes,Yes,"Static pages (404, 418) have content in raw HTML. EDS pages load content via document model (not JS-only). Some UI components use JS to toggle display:none for interactive elements (billing form, cart, gift options) but these are not critical page content. Core headings/body text are in the DOM, not exclusively JS-injected.","404.html, blocks/commerce-checkout/commerce-checkout.js:477"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,Avoid excessive DOM depth,Medium,No,Yes,DOM nesting in blocks follows typical component patterns. No evidence of excessive nesting (10+ levels) from code inspection. The most complex block (product-details) builds card/carousel/modal structures with reasonable depth. EDS architecture uses flat section/block structure by default.,blocks/product-details/product-details.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Radio/checkbox groups wrapped in fieldset with legend; forms with 3+ related inputs have grouping,High,Yes,No,No fieldset or legend elements found anywhere in blocks JS. Radio group in canon-shipping.js (cs-addr inputs) and checkbox in lease-section.js are not wrapped in fieldset/legend. This is a violation for radio groups especially.,"blocks/commerce-checkout/canon-shipping.js:194-208, blocks/commerce-checkout/lease-section.js:54-59"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,All inputs have associated labels,Critical,Yes,No,"Text inputs in makeTextField/makeStateSelect have properly associated labels via htmlFor. However, the radio buttons in the address book popup (canon-shipping.js) have IDs (cs-addr-N) but the label is a span without a for attribute — these radio inputs are effectively unlabeled. Lease checkbox also needs verification.",blocks/commerce-checkout/canon-shipping.js:184-208
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Placeholder not used as label,High,Yes,Yes,"No HTML placeholder attributes found on input elements in blocks. All references to ""placeholder"" are the EDS fetchPlaceholders() i18n utility. Text inputs use visible labels via htmlFor (makeTextField/makeStateSelect in canon-shipping.js). Placeholder-as-label anti-pattern not present.",blocks/commerce-checkout/canon-shipping.js:15-39
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Error messages programmatically associated with inputs via aria-describedby or aria-errormessage; error containers use role='alert' or aria-live='assertive'; error text is non-empty and >10 characters,Critical,Yes,No,"Error messages are displayed via CSS class and span elements (e.g., canon-shipping.js creates a span with error text) but no aria-describedby or aria-errormessage links them to inputs. Cart/mini-cart alerts correctly use role='alert' and aria-live='assertive' for toast messages, but form validation errors are not programmatically associated with their inputs.","blocks/commerce-checkout/canon-shipping.js:87-98, blocks/commerce-cart/commerce-cart.js:121-122"
